#ID	DateBP	Region	Latitude	Longitude
NA20587.SG	0	Italy	40.50	11.00
NA20588.SG	0	Italy	40.50	11.00
NA20589.SG	0	Italy	40.50	11.00
NA20752.SG	0	Italy	40.50	11.00
NA20753.SG	0	Italy	40.50	11.00
NA20754.SG	0	Italy	40.50	11.00
NA20755.SG	0	Italy	40.50	11.00
NA20756.SG	0	Italy	40.50	11.00
NA20757.SG	0	Italy	40.50	11.00
NA20758.SG	0	Italy	40.50	11.00
NA20759.SG	0	Italy	40.50	11.00
NA20760.SG	0	Italy	40.50	11.00
NA20761.SG	0	Italy	40.50	11.00
NA20762.SG	0	Italy	40.50	11.00
NA20763.SG	0	Italy	40.50	11.00
NA20764.SG	0	Italy	40.50	11.00
NA20765.SG	0	Italy	40.50	11.00
NA20766.SG	0	Italy	40.50	11.00
NA20767.SG	0	Italy	40.50	11.00
NA20768.SG	0	Italy	40.50	11.00
NA20769.SG	0	Italy	40.50	11.00
NA20770.SG	0	Italy	40.50	11.00
NA20771.SG	0	Italy	40.50	11.00
NA20772.SG	0	Italy	40.50	11.00
NA20773.SG	0	Italy	40.50	11.00
NA20774.SG	0	Italy	40.50	11.00
NA20775.SG	0	Italy	40.50	11.00
NA20778.SG	0	Italy	40.50	11.00
NA20783.SG	0	Italy	40.50	11.00
NA20785.SG	0	Italy	40.50	11.00
NA20786.SG	0	Italy	40.50	11.00
NA20787.SG	0	Italy	40.50	11.00
NA20790.SG	0	Italy	40.50	11.00
NA20792.SG	0	Italy	40.50	11.00
NA20795.SG	0	Italy	40.50	11.00
NA20796.SG	0	Italy	40.50	11.00
NA20797.SG	0	Italy	40.50	11.00
NA20798.SG	0	Italy	40.50	11.00
NA20799.SG	0	Italy	40.50	11.00
NA20800.SG	0	Italy	40.50	11.00
NA20801.SG	0	Italy	40.50	11.00
NA20802.SG	0	Italy	40.50	11.00
NA20803.SG	0	Italy	40.50	11.00
NA20804.SG	0	Italy	40.50	11.00
NA20805.SG	0	Italy	40.50	11.00
NA20806.SG	0	Italy	40.50	11.00
NA20807.SG	0	Italy	40.50	11.00
NA20808.SG	0	Italy	40.50	11.00
NA20809.SG	0	Italy	40.50	11.00
NA20810.SG	0	Italy	40.50	11.00
NA20811.SG	0	Italy	40.50	11.00
NA20812.SG	0	Italy	40.50	11.00
NA20813.SG	0	Italy	40.50	11.00
NA20814.SG	0	Italy	40.50	11.00
NA20815.SG	0	Italy	40.50	11.00
NA20818.SG	0	Italy	40.50	11.00
NA20819.SG	0	Italy	40.50	11.00
NA20821.SG	0	Italy	40.50	11.00
NA20822.SG	0	Italy	40.50	11.00
NA20826.SG	0	Italy	40.50	11.00
NA20827.SG	0	Italy	40.50	11.00
NA20828.SG	0	Italy	40.50	11.00
